idColaborador,Fecha,Sucursal,Puesto,Motivo,Ticket,AreaBuscada,Mes,Dia,CodigoAreaBuscada
5,2023-08-07,DESARROLLO DE NUEVAS UNIDADES DE NEGOCIO,EJECUTIVO DE APERTURAS,Sin respuesta,0,Otros,8,7,7
2924,2023-08-07,MONTERREY LINCOLN,ASESOR MOSTRADOR,Nómina,49031,Otros,8,7,7
5773,2023-08-07,ECATEPEC,COORDINADOR DE ALMACEN Y LOGISTICA,Reposición de gafete,49642,Administración de Personal ,8,7,1
8249,2023-08-07,QUERETARO NACION,EJECUTIVO TELEMARKETING SUCURSAL,Conocer prestaciones,0,Compensaciones y Beneficios ,8,7,2
9199,2023-08-07,VALLEJO,MOTOCICLISTA DE SUCURSAL,Constancia laboral,48936,Relaciones Laborales,8,7,3
9545,2023-08-07,TOLUCA,EJECUTIVO DE LOGISTICA,Conocer prestaciones,0,Compensaciones y Beneficios ,8,7,2
10226,2023-08-07,ZAMORA,MOTOCICLISTA DE SUCURSAL,Duda sobre bono,49080,Compensaciones y Beneficios ,8,7,2
5257,2023-08-08,TOLUCA,ASESOR MOSTRADOR,Solicitar beneficio,0,Compensaciones y Beneficios ,8,8,2
5788,2023-08-08,NUEVO LAREDO,CHOFER SUCURSAL,Sin respuesta,0,Otros,8,8,7
7454,2023-08-08,IZTAPALAPA SANTA MARTHA,EJECUTIVO TELEMARKETING REFACCIONARIAS,Queja clima laboral,49216,Regionales de CH,8,8,4
8875,2023-08-08,LAZARO CARDENAS,COORDINADOR DE MOSTRADOR,Nómina,0,Otros,8,8,7
10105,2023-08-08,SANTA CATARINA,MOTOCICLISTA DE SUCURSAL,Sin respuesta,0,Otros,8,8,7
10461,2023-08-08,TAPACHULA,EJECUTIVO DE CREDITO Y COBRANZA SUCURSAL,Sin respuesta,0,Otros,8,8,7
10887,2023-08-08,MATAMOROS,MOTOCICLISTA DE SUCURSAL,Sin respuesta,0,Otros,8,8,7
11490,2023-08-08,MONCLOVA,AYUDANTE MULTIFUNCIONAL,Sin respuesta,0,Otros,8,8,7
4045,2023-08-09,VILLAHERMOSA UNIVERSIDAD,EJECUTIVO TELEMARKETING REFACCIONARIAS,Sin respuesta,0,Otros,8,9,7
5093,2023-08-09,ZAMORA,GERENTE UNIDAD DE NEGOCIO,Reposición de uniforme y epp,50053,Uniformes y Epp,8,9,5
5773,2023-08-09,ECATEPEC,COORDINADOR DE ALMACEN Y LOGISTICA,Constancia laboral,0,Relaciones Laborales,8,9,3
6546,2023-08-09,FEDERALISMO,ASESOR DE VENTAS MOTOPARTES,Sin respuesta,0,Otros,8,9,7
6654,2023-08-09,TULTITLAN,MOTOCICLISTA DE SUCURSAL,Reposición de tarjeta nómina,50047,Administración de Personal ,8,9,1
8281,2023-08-09,HERMOSILLO,COORDINADOR DE ALMACEN Y LOGISTICA,Sin respuesta,0,Otros,8,9,7
10062,2023-08-09,ECATEPEC,ASESOR DE VENTAS MOTOPARTES,Sin respuesta,0,Otros,8,9,7
10432,2023-08-09,DURANGO,MOTOCICLISTA DE SUCURSAL,Sin respuesta,0,Otros,8,9,7
10802,2023-08-09,TEPATITLAN,MOTOCICLISTA DE SUCURSAL,Sin respuesta,0,Otros,8,9,7
10868,2023-08-09,MERIDA ORIENTE,AYUDANTE MULTIFUNCIONAL,Sin respuesta,0,Otros,8,9,7
10974,2023-08-09,QUERETARO LUIS PASTEUR,CHOFER SUCURSAL,Sin respuesta,0,Otros,8,9,7
8138,2023-08-10,CANCUN TALLERES,COORDINADOR DE MOSTRADOR,Sin respuesta,0,Otros,8,10,7
9876,2023-08-10,TULTITLAN,AYUDANTE MULTIFUNCIONAL,Nómina,0,Otros,8,10,7
10917,2023-08-10,TAPACHULA,EJECUTIVO DE LOGISTICA,Sin respuesta,0,Otros,8,10,7
2864,2023-08-11,MERIDA ITZAES,GERENTE UNIDAD DE NEGOCIO,Sin respuesta,0,Otros,8,11,7
6697,2023-08-11,IZTAPALAPA SANTA MARTHA,ASESOR DE VENTAS MOTOPARTES,Reposición de uniforme y epp,50820,Uniformes y Epp,8,11,5
8247,2023-08-11,SALTILLO,COORDINADOR DE ALMACEN Y LOGISTICA,Reposición de uniforme y epp,50809,Uniformes y Epp,8,11,5
9102,2023-08-11,VALLEJO,ASESOR MOSTRADOR,Duda sobre bono,0,Compensaciones y Beneficios ,8,11,2
9166,2023-08-11,SALTILLO,CHOFER SUCURSAL,Nómina,0,Otros,8,11,7
9455,2023-08-11,TOLUCA,ASESOR MOSTRADOR,Sin respuesta,0,Regionales de CH,8,11,4
10191,2023-08-11,CEDIS,CHOFER DE CEDIS,Sin respuesta,0,Otros,8,11,7
10792,2023-08-11,TOLUCA,ASESOR DE VENTAS MOTOPARTES,Reposición de uniforme y epp,50819,Uniformes y Epp,8,11,5
255,2023-08-12,CENTRAL CAMIONERA,ASESOR MOSTRADOR,Constancia laboral,0,Relaciones Laborales,8,12,3
1738,2023-08-12,ACAPULCO CONSTITUYENTES,GERENTE UNIDAD DE NEGOCIO,Reposición de uniforme y epp,86195,Uniformes y EPP,8,12,5
5055,2023-08-12,CAPITAL HUMANO,REGIONAL DE CAPITAL HUMANO,Reposición de tarjeta nómina,0,Administración de Personal ,8,12,1
5298,2023-08-12,OAXACA,GERENTE UNIDAD DE NEGOCIO,Cuenta workplace,0,Administración de Personal ,8,12,1
5310,2023-08-12,APODACA,COORDINADOR DE ALMACEN Y LOGISTICA,Conocer prestaciones,0,Compensaciones y Beneficios,8,12,2
8822,2023-08-12,NUEVO LAREDO,ASESOR MOSTRADOR,Reposición de gafete,86191,Administración de Personal ,8,12,1
9025,2023-08-12,MORELIA MADERO,MOTOCICLISTA DE SUCURSAL,Nómina,0,Otros,8,12,7
9420,2023-08-12,TIJUANA,AYUDANTE MULTIFUNCIONAL,Sin respuesta,0,Compensaciones y Beneficios,8,12,2
9517,2023-08-12,HERMOSILLO PERIFERICO,MOTOCICLISTA DE SUCURSAL,Sin respuesta,0,Administración de Personal ,8,12,1
10197,2023-08-12,COLON,MOTOCICLISTA DE SUCURSAL,Solicitar beneficio,0,Compensaciones y Beneficios ,8,12,2
10729,2023-08-12,TIJUANA CENTRO,AYUDANTE MULTIFUNCIONAL,Duda sobre bono,0,Compensaciones y Beneficios ,8,12,2
10993,2023-08-12,SANTA CATARINA,AYUDANTE MULTIFUNCIONAL,Hablar con ch,0,Compensaciones y Beneficios,8,12,2
9199,2023-08-14,VALLEJO,MOTOCICLISTA DE SUCURSAL,Hablar con ch,0,Regionales de CH,8,14,4
9868,2023-08-14,TULTITLAN,ASESOR DE VENTAS MOTOPARTES,Reposición de uniforme y epp,50817,Uniformes y Epp,8,14,5
10062,2023-08-14,ECATEPEC,ASESOR DE VENTAS MOTOPARTES,Reposición de uniforme y epp,50816,Uniformes y Epp,8,14,5
10659,2023-08-14,PACHUCA,ASESOR DE VENTAS MOTOPARTES,Reposición de uniforme y epp,50814,Uniformes y Epp,8,14,5
8387,2023-08-15,FRESNILLO,ASESOR DE VENTAS EMPRESAS,Reposición de uniforme y epp,49115,Uniformes y Epp,8,15,5
8387,2023-08-15,FRESNILLO,ASESOR DE VENTAS EMPRESAS,Duda sobre bono,50646,Compensaciones y Beneficios ,8,15,2
8387,2023-08-15,FRESNILLO,ASESOR DE VENTAS EMPRESAS,Reposición de uniforme y epp,51433,Uniformes y Epp,8,15,5
1126,2023-08-16,COLON,ASESOR MOSTRADOR,Hablar con ch,0,Compensaciones y Beneficios ,8,16,2
3368,2023-08-17,MONTERREY LINCOLN,ASESOR DE VENTAS EMPRESAS,Pulso apymsa,0,Administración de Personal ,8,17,1
6041,2023-08-17,CENTRAL CAMIONERA,ASESOR DE VENTAS EMPRESAS,Reposición de uniforme y epp,49217,Uniformes y Epp,8,17,5
6654,2023-08-17,TULTITLAN,MOTOCICLISTA DE SUCURSAL,Reposición de tarjeta nómina,0,Administración de Personal ,8,17,1
7490,2023-08-17,NEZA,GERENTE UNIDAD DE NEGOCIO,Solicitar beneficio,52460,Compensaciones y Beneficios ,8,17,2
7650,2023-08-17,TOLUCA,EJECUTIVO DE LOGISTICA,Reposición de uniforme y epp,52430,Uniformes y Epp,8,17,5
7888,2023-08-17,COLONIA JALISCO,COORDINADOR DE ALMACEN Y LOGISTICA,Reposición de uniforme y epp,52625,Uniformes y Epp,8,17,5
7920,2023-08-17,VALLEJO,COORDINADOR DE ALMACEN Y LOGISTICA,Duda sobre bono,0,Compensaciones y Beneficios ,8,17,2
10209,2023-08-17,MORELIA LIBRAMIENTO,EJECUTIVO DE LOGISTICA,Reposición de gafete,51811,Administración de Personal ,8,17,1
10299,2023-08-17,NEZA,ASESOR MOSTRADOR,Reposición de uniforme y epp,52436,Uniformes y Epp,8,17,5
4892,2023-08-18,MONTERREY LINCOLN,COORDINADOR DE MOSTRADOR,Reposición de uniforme y epp,0,Uniformes y Epp,8,18,5
5714,2023-08-18,MONTERREY LINCOLN,GERENTE UNIDAD DE NEGOCIO,Solicitar beneficio,0,Compensaciones y Beneficios ,8,18,2
9545,2023-08-18,TOLUCA,EJECUTIVO DE LOGISTICA,Duda sobre bono,0,Compensaciones y Beneficios ,8,18,2
10030,2023-08-18,IZTAPALAPA ROJO GOMEZ,MOTOCICLISTA DE SUCURSAL,Reposición de gafete,0,Administración de Personal ,8,18,1
10836,2023-08-18,MONTERREY LINCOLN,MOTOCICLISTA DE SUCURSAL,Reposición de uniforme y epp,0,Uniformes y Epp,8,18,5
4876,2023-08-21,COLIMA,EJECUTIVO DE CREDITO Y COBRANZA SUCURSAL,Conocer prestaciones,0,Compensaciones y Beneficios ,8,21,2
9802,2023-08-21,PELICANO,CHOFER SUCURSAL,Reposición de uniforme y epp,0,Uniformes y Epp,8,21,5
10197,2023-08-22,COLON,MOTOCICLISTA DE SUCURSAL,Solicitar beneficio,0,Compensaciones y Beneficios ,8,22,2
10292,2023-08-22,TOLUCA,CHOFER SUCURSAL,Reposición de uniforme y epp,0,Uniformes y Epp,8,22,5
10910,2023-08-22,SANTA CATARINA,EJECUTIVO DE LOGISTICA,Reposición de uniforme y epp,54184,Uniformes y Epp,8,22,5
5552,2023-08-23,TESISTAN,COORDINADOR DE ALMACEN Y LOGISTICA,Solicitar beneficio,0,Compensaciones y Beneficios ,8,23,2
5714,2023-08-23,MONTERREY LINCOLN,GERENTE UNIDAD DE NEGOCIO,Cuenta workplace,0,Administración de Personal ,8,23,1
9225,2023-08-23,MEXICALI,MOTOCICLISTA DE SUCURSAL,Reposición de uniforme y epp,0,Uniformes y Epp,8,23,5
10197,2023-08-23,COLON,MOTOCICLISTA DE SUCURSAL,Solicitar beneficio,52902,Compensaciones y Beneficios ,8,23,2
10659,2023-08-23,PACHUCA,ASESOR DE VENTAS MOTOPARTES,Reposición de uniforme y epp,50814,Uniformes y Epp,8,23,5
1264,2023-08-24,MONTERREY RUIZ,ASESOR MOSTRADOR,Reposición de gafete,55460,Administración de Personal ,8,24,1
6842,2023-08-24,GUADALUPE,EJECUTIVO DE CREDITO Y COBRANZA,Reposición de uniforme y epp,54785,Uniformes y Epp,8,24,5
8068,2023-08-24,GUADALUPE,ASESOR MOSTRADOR,Cuenta workplace,0,Administración de Personal ,8,24,1
8369,2023-08-24,GUADALUPE,ASESOR MOSTRADOR,Cuenta workplace,0,Administración de Personal ,8,24,1
1126,2023-08-25,COLON,ASESOR MOSTRADOR,Solicitar beneficio,NA ,Compensaciones y Beneficios ,8,25,2
2728,2023-08-25,CENTRAL CAMIONERA,GERENTE UNIDAD DE NEGOCIO,Hablar con ch,0,Administración de Personal ,8,25,1
2944,2023-08-25,PELICANO,ASESOR MOSTRADOR,Reposición de gafete,55458,Administración de Personal ,8,25,1
6562,2023-08-25,TOLUCA,COORDINADOR DE ALMACEN Y LOGISTICA,Reposición de uniforme y epp,55466,Uniformes y Epp,8,25,5
7059,2023-08-25,TOLUCA,EJECUTIVO DE LOGISTICA,Reposición de tarjeta nómina,55463,Administración de Personal ,8,25,1
9896,2023-08-25,TOLUCA,CHOFER SUCURSAL,Reposición de uniforme y epp,0,Uniformes y Epp,8,25,5
10385,2023-08-25,OJO DE AGUA,MOTOCICLISTA DE SUCURSAL,Reposición de gafete,55461,Administración de Personal ,8,25,1
7119,2023-08-28,MONTERREY LINCOLN,MOTOCICLISTA DE SUCURSAL,Reposición de uniforme y epp,0,Uniformes y Epp,8,28,5
4584,2023-08-29,TULTITLAN,GERENTE UNIDAD DE NEGOCIO,Hablar con ch,0,Administración de Personal ,8,29,1
5614,2023-08-29,MONTERREY RUIZ,GERENTE UNIDAD DE NEGOCIO,Solicitar beneficio,0,Compensaciones y Beneficios ,8,29,2
9166,2023-08-29,SALTILLO,CHOFER SUCURSAL,Queja clima laboral,0,Regionales de CH,8,29,4
9374,2023-08-29,MONTERREY LINCOLN,COORDINADOR DE ALMACEN Y LOGISTICA,Reposición de uniforme y epp,0,Uniformes y Epp,8,29,5
9374,2023-08-29,MONTERREY LINCOLN,COORDINADOR DE ALMACEN Y LOGISTICA,Reposición de uniforme y epp,0,Uniformes y Epp,8,29,5
7490,2023-08-30,NEZA,GERENTE UNIDAD DE NEGOCIO,Solicitar beneficio,56672,Compensaciones y Beneficios ,8,30,2
7213,2023-08-31,VALLEJO,GERENTE DE VENTAS,Reposición de tarjeta vales,0,Administración de Personal ,8,31,1
8515,2023-08-31,ESCOBEDO,GERENTE UNIDAD DE NEGOCIO,Reposición de uniforme y epp,0,Uniformes y Epp,8,31,5
2760,2023-09-01,OPERACIONES RETAIL,GERENTE REGIONAL UNIDAD DE NEGOCIO,Reposición de gafete,58402,Administración de Personal ,9,1,1
4729,2023-09-01,EXCELENCIA OPERATIVA,EJECUTIVO DE EXCELENCIA OPERATIVA,Reposición de uniforme y epp,0,Uniformes y Epp,9,1,5
9545,2023-09-01,TOLUCA,EJECUTIVO DE LOGISTICA,Duda sobre bono,0,Compensaciones y Beneficios ,9,1,2
1264,2023-09-02,MONTERREY RUIZ,ASESOR MOSTRADOR,Solicitar beneficio,58772,Compensaciones y Beneficios ,9,2,2
